pair_id,method,status,reference_path,output_path,deltae_lip,deltae_eye,deltae_skin,deltae_avg
24,baseline,ok,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/assets/images/makeup/XMY-060.png,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/results/baseline_updated30/pair24_result.png,11.612549781799316,24.358619689941406,2.922884941101074,12.9646848042806
24,ours,ok,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/assets/images/makeup/XMY-060.png,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/results/ours_updated30/pair24_result.png,7.703784942626953,8.459318161010742,0.3798215091228485,5.514308204253514
24,stablemakeup,ok,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/assets/images/makeup/XMY-060.png,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/results/stablemakeup_updated30/pair24_xfsy_0303_XMY-060.png,9.988389015197754,1.685208797454834,8.946904182434082,6.87350066502889
25,baseline,ok,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/assets/images/makeup/XMY-402.png,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/results/baseline_updated30/pair25_result.png,1.676713466644287,19.43181800842285,2.4925119876861572,7.867014487584432
25,ours,ok,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/assets/images/makeup/XMY-402.png,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/results/ours_updated30/pair25_result.png,11.401083946228027,8.801490783691406,5.8940300941467285,8.69886827468872
25,stablemakeup,ok,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/assets/images/makeup/XMY-402.png,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/results/stablemakeup_updated30/pair25_xfsy_0383_XMY-402.png,16.123685836791992,13.446249008178711,16.406551361083984,15.325495402018229
26,baseline,ok,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/assets/images/makeup/XYH-005.png,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/results/baseline_updated30/pair26_result.png,8.713394165039062,7.600474834442139,4.573431491851807,6.962433497111003
26,ours,ok,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/assets/images/makeup/XYH-005.png,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/results/ours_updated30/pair26_result.png,2.9714953899383545,8.26725959777832,2.248960494995117,4.495905160903931
26,stablemakeup,ok,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/assets/images/makeup/XYH-005.png,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/results/stablemakeup_updated30/pair26_xfsy_0417_XYH-005.png,4.615678787231445,11.684446334838867,5.517422199249268,7.272515773773193
27,baseline,ok,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/assets/images/makeup/XYH-049.png,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/results/baseline_updated30/pair27_result.png,8.043342590332031,15.085355758666992,2.9491426944732666,8.69261368115743
27,ours,ok,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/assets/images/makeup/XYH-049.png,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/results/ours_updated30/pair27_result.png,6.29308557510376,13.738263130187988,3.670799732208252,7.900716145833333
27,stablemakeup,ok,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/assets/images/makeup/XYH-049.png,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/results/stablemakeup_updated30/pair27_xfsy_0441_XYH-049.png,11.328241348266602,9.225442886352539,11.610145568847656,10.7212766011556
28,baseline,ok,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/assets/images/makeup/af0133cb94d36f4ab6fd45bb08a12d63.png,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/results/baseline_updated30/pair28_result.png,4.3665666580200195,13.711267471313477,5.795138835906982,7.957657655080159
28,ours,ok,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/assets/images/makeup/af0133cb94d36f4ab6fd45bb08a12d63.png,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/results/ours_updated30/pair28_result.png,12.601019859313965,22.873498916625977,3.808562755584717,13.094360510508219
28,stablemakeup,ok,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/assets/images/makeup/af0133cb94d36f4ab6fd45bb08a12d63.png,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/results/stablemakeup_updated30/pair28_xfsy_0474_af0133cb94d36f4ab6fd45bb08a12d63.png,5.018683433532715,7.131069183349609,4.911938667297363,5.6872304280598955
29,baseline,ok,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/assets/images/makeup/b41f1f7fd71a2744bd9c2fcfe55e12b6.png,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/results/baseline_updated30/pair29_result.png,7.822024345397949,34.79746627807617,5.613799095153809,16.077763239542644
29,ours,ok,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/assets/images/makeup/b41f1f7fd71a2744bd9c2fcfe55e12b6.png,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/results/ours_updated30/pair29_result.png,5.9111409187316895,24.106565475463867,3.1899049282073975,11.069203774134317
29,stablemakeup,ok,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/assets/images/makeup/b41f1f7fd71a2744bd9c2fcfe55e12b6.png,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/results/stablemakeup_updated30/pair29_xfsy_0481_b41f1f7fd71a2744bd9c2fcfe55e12b6.png,2.798553466796875,7.228144645690918,6.044307231903076,5.357001781463623
30,baseline,ok,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/assets/images/makeup/retertet.png,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/results/baseline_updated30/pair30_result.png,5.867788791656494,24.434871673583984,8.982416152954102,13.095025539398193
30,ours,ok,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/assets/images/makeup/retertet.png,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/results/ours_updated30/pair30_result.png,7.559090614318848,16.41020965576172,8.376778602600098,10.782026290893555
30,stablemakeup,ok,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/assets/images/makeup/retertet.png,/DATA/yantongliu/PSGAN-ours/PSGAN-spiga/results/stablemakeup_updated30/pair30_xfsy_0520_retertet.png,2.8605613708496094,10.64289379119873,5.70913553237915,6.404196898142497
